initial key,initial value,current,proposed workspace,proposed bucket,proposed key,merged,confidence,reason
andpoe.experience_add_ons_tray_button_save,Continue,experience_add|ons_tray_button_save,experience,experience_add,ons_tray_button_save,TRUE,high,value-identical cross-platform → merged
iospoe.experience_add_ons_tray_button_save,Continue,experience_add|ons_tray_save,experience,experience_add,ons_tray_button_save,TRUE,high,value-identical cross-platform → merged
andpoe.experience_autocomplete_nearest_destinations,Nearest destination,(blank),experience,experience_autocomplete,nearest_destinations,TRUE,high,value-identical cross-platform → merged
iospoe.experience_autocomplete_nearest_destinations,Nearest destination,(blank),experience,experience_autocomplete,nearest_destinations,TRUE,high,value-identical cross-platform → merged
iospoe.experience_autocomplete_recently_searched,Your recent searches,(blank),experience,experience_autocomplete,recently_searched,FALSE,high,blank → first-token feature rule
andpoe.experience_booking_custom_dialog_price_tray_price_you_pay,Total price,experience_booking|custom_dialog_price_tray_price_you_pay,experience,experience_booking,custom_dialog_price_tray_price_you_pay,TRUE,high,value-identical cross-platform → merged
iospoe.experience_booking_custom_dialog_price_tray_price_you_pay,Total price,(blank),experience,experience_booking,custom_dialog_price_tray_price_you_pay,TRUE,high,value-identical cross-platform → merged
andpoe.experience_booking_custom_dialog_price_you_loyalty_point,Earn {0} Points,experience_booking|custom_dialog_price_you_loyalty_point,experience,experience_booking,custom_dialog_price_you_loyalty_point,TRUE,high,value-identical cross-platform → merged
iospoe.experience_booking_custom_dialog_price_you_loyalty_point,Earn {0} Points,(blank),experience,experience_booking,custom_dialog_price_you_loyalty_point,TRUE,high,value-identical cross-platform → merged
andpoe.experience_booking_custom_dialog_traveler_detail_tray_booking_information,Booking details,experience_booking|custom_dialog_traveler_detail_tray_booking_information,experience,experience_booking,custom_dialog_traveler_detail_tray_booking_information,TRUE,high,value-identical cross-platform → merged
iospoe.experience_booking_custom_dialog_traveler_detail_tray_booking_information,Booking details,(blank),experience,experience_booking,custom_dialog_traveler_detail_tray_booking_information,TRUE,high,value-identical cross-platform → merged
andpoe.experience_booking_form_non_refundable_label,Non-refundable,experience_booking|form_non_refundable_label,experience,experience_booking,form_non_refundable_label,TRUE,high,value-identical cross-platform → merged
iospoe.experience_dynamic_cancellation_non_refundable,Non-refundable,(blank),experience,experience_booking,form_non_refundable_label,TRUE,high,value-identical cross-platform → merged
